"date_time","content"
"2025-01-17 12:00:00","委員會預算審查上傳完畢，目前正在處理黨團協商的提案。"
"2025-01-20 16:50:00","目前委員會已有議事錄的預算審查紀錄、以及目前正在院會協商的提案都已上傳。"
"2025-01-21 10:00:00","1/20 院會決議提案工事中（由記者聽 ivod 確認），處理好會更新平台上的資料"
"2025-01-21 21:40:00","1/20、1/21 院會決議已更新完畢，平台上的資料是聽 ivod 整理過後的最終審議結果。待議事錄出來之後會再對照過一次"
"2025-01-24 22:30:00","更新「衛生福利部主管預算（相關基金）」委員會審查紀錄共 83 筆。"
"2025-02-10 15:00:00","更新「法務部及所屬主管收支部分」、「經濟部主管附屬單位預算（經濟作業基金、水資源作業基金、經濟特別收入基金、核能發電後端營運基金、台灣糖業股份有限公司、台灣中油股份有限公司）」委員會審查紀錄共 297 筆。目前立法院審查資料已全數上傳。"
"2025-02-12 20:00:00","新增政府部會預算書資料欄位。目前已上傳原民會、中選會、中研院資料，其餘部會工事中。"
"2025-02-17 15:00:00","再新增 13 個政府部會預算書：海洋委員會、財政部、內政部移民署、內政部警政署、國土管理署、國家公園署、文化部、影視及流行音樂產業局、公平會、主計總處、核能安全委員會、國家安全局、大陸委員會。其餘部會工事中。"
"2025-02-18 22:50:00","再新增 9 個政府部會預算書：司法院、海巡署、消防署、內政部、外交部、立法院、僑委會、中央氣象署、民航局。其餘部會工事中。"
"2025-02-20 19:30:00","再新增 21 部會預算書配對（交通部、運安會、鐵道局、人事行政總處、公共工程委員會、行政院、法務部、銀行局、證期局、海洋保育署、國家海洋研究院、賦稅署、關務署、退輔會、國發會、教育部、勞動力發展署、農業部、監察院、數發部、健保署），其餘部會工事中（54% left）。"
"2025-03-05 21:31:00","所有剩餘部會預算配對資料，新增完畢！"
